   0    0.000000000000e+00    0.000000000000e+00   -8.857876080303e+00   -2.249527426027e-15    4.825868603395e-01    5.658218867269e-14
   1    2.083333333333e-01    0.000000000000e+00   -1.277199254578e+00    7.534691792165e-14    3.661592543084e-01    4.053545905230e-14
   2    4.166666666667e-01    0.000000000000e+00    2.433653093264e-01    9.944561500847e-14    3.006980971295e-01    3.844128181080e-14
   3    6.250000000000e-01    0.000000000000e+00    8.625608822324e-02    2.086784934522e-14    2.895151980169e-01    3.906892901924e-14
   4    8.333333333333e-01    0.000000000000e+00    3.845051496474e-02    4.380963887886e-14    3.187023626019e-01    4.287662212495e-14
   5    1.041666666667e+00    0.000000000000e+00   -2.448013497135e-02    7.002269820258e-14    3.092211986738e-01    3.991814981475e-14
   6    1.250000000000e+00    0.000000000000e+00   -6.445837536789e-01   -4.650853566423e-14    3.251520944608e-01    4.122955686699e-14
   7    1.458333333333e+00    0.000000000000e+00   -3.343668769002e-01   -4.931291309262e-14    3.584872380884e-01    3.961289971817e-14
   8    1.666666666667e+00    0.000000000000e+00   -5.099456301651e-01    3.707012508335e-15    2.896228883720e-01    3.945803872457e-14
   9    1.875000000000e+00    0.000000000000e+00   -2.871656107706e-01   -2.731635070272e-14    3.049181710797e-01    4.300924503494e-14
  10    2.083333333333e+00    0.000000000000e+00   -6.768786708261e-01   -3.187347508645e-14    2.760774935567e-01    4.173156678469e-14
  11    2.291666666667e+00    0.000000000000e+00   -1.744406347388e-01    3.602658646793e-14    3.319631166456e-01    4.429994553660e-14
  12    2.500000000000e+00    0.000000000000e+00   -2.658105011504e-01    1.311677593329e-14    3.303482348972e-01    3.960718018298e-14
  13    2.708333333333e+00    0.000000000000e+00    5.540281423453e-02    5.488940218173e-14    3.282249196957e-01    4.006397725978e-14
  14    2.916666666667e+00    0.000000000000e+00    3.043748761267e-01   -4.639712396632e-14    3.236909425070e-01    3.962709401549e-14
  15    3.125000000000e+00    0.000000000000e+00   -1.568155906951e+00   -3.309665359481e-14    3.232688925581e-01    4.148066936339e-14
