   0    0.000000000000e+00    0.000000000000e+00                   NaN                   NaN    4.825868603395e-01    5.658218867269e-14
   1    2.083333333333e-01    0.000000000000e+00                   NaN   -3.021667337417e+01    3.661592543084e-01    4.053545905230e-14
   2    4.166666666667e-01    0.000000000000e+00   -1.413191633950e+00   -2.993916548301e+01    3.006980971295e-01    3.844128181080e-14
   3    6.250000000000e-01    0.000000000000e+00   -2.450434637466e+00   -3.150056672919e+01    2.895151980169e-01    3.906892901924e-14
   4    8.333333333333e-01    0.000000000000e+00   -3.258383190019e+00   -3.075892253601e+01    3.187023626019e-01    4.287662212495e-14
   5    1.041666666667e+00    0.000000000000e+00                   NaN   -3.028995694539e+01    3.092211986738e-01    3.991814981475e-14
   6    1.250000000000e+00    0.000000000000e+00                   NaN                   NaN    3.251520944608e-01    4.122955686699e-14
   7    1.458333333333e+00    0.000000000000e+00                   NaN                   NaN    3.584872380884e-01    3.961289971817e-14
   8    1.666666666667e+00    0.000000000000e+00                   NaN   -3.322855009650e+01    2.896228883720e-01    3.945803872457e-14
   9    1.875000000000e+00    0.000000000000e+00                   NaN                   NaN    3.049181710797e-01    4.300924503494e-14
  10    2.083333333333e+00    0.000000000000e+00                   NaN                   NaN    2.760774935567e-01    4.173156678469e-14
  11    2.291666666667e+00    0.000000000000e+00                   NaN   -3.095451921602e+01    3.319631166456e-01    4.429994553660e-14
  12    2.500000000000e+00    0.000000000000e+00                   NaN   -3.196488437838e+01    3.303482348972e-01    3.960718018298e-14
  13    2.708333333333e+00    0.000000000000e+00   -2.893124888062e+00   -3.053345610361e+01    3.282249196957e-01    4.006397725978e-14
  14    2.916666666667e+00    0.000000000000e+00   -1.189495192121e+00                   NaN    3.236909425070e-01    3.962709401549e-14
  15    3.125000000000e+00    0.000000000000e+00                   NaN                   NaN    3.232688925581e-01    4.148066936339e-14
