     0    4.440892098501e-16    2.707034912293e-02
     1   -9.992007221626e-16    7.937926948893e-02
     2   -4.329869796038e-15    2.759197596082e-03
     3    2.886579864025e-15   -3.085259217155e-02
     4    1.443289932013e-15    8.721046148969e-03
     5    1.554312234475e-15    3.068214610004e-02
     6    4.218847493576e-15   -2.135621865909e-02
     7   -1.332267629550e-15   -3.011050588016e-02
     8   -2.775557561563e-15    1.055911455680e-02
     9    0.000000000000e+00    4.765777798271e-02
    10   -6.661338147751e-16    3.495058164596e-02
    11   -2.220446049250e-15    3.114482045220e-02
    12    3.885780586188e-15   -2.981662480459e-02
    13    2.220446049250e-15    7.373577792353e-03
    14    8.215650382226e-15    8.165577900440e-04
    15   -2.553512956638e-15    6.155272180777e-03
